event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_1km,population_2km,population_5km,population_best
MEX93450,"26 September 2024",2024,2,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","Judges (Mexico); Labor Group (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,"Ciudad de Mexico","La Magdalena Contreras",,"Ciudad de Mexico - Magdalena Contreras",19.3049,-99.2415,1,"El Universal (Mexico)",National,"Around 26 September 2024 (as reported), in Ciudad de Mexico - Magdalena Contreras, judges and employees of the Judiciary protested in front of the headquarters of the National Commission of Human Rights (CNDH) on Periferico Sur to demand that the Commission files an action of unconstitutionality against judicial reform. This protest is part of a national strike that includes protests in other cities (coded separately).",0,"crowd size=no report",1727907807,39082,109309,482219,39082
MEX93455,"26 September 2024",2024,2,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","Farmers (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,Colima,Tecoman,,Tecoman,18.9105,-103.8735,1,"Colima Noticias",Subnational,"Around 26 September 2024 (as reported), in Tecoman, Colima, around 150 farmers from Ameria, Tecoman and Manzanillo occupied the offices of the Federal Commission of Electricity (CFE) on Jupiter street and blocked the highway leading to Colima near 'La Estacion' bridge to protest against excessive fees.",0,"crowd size=around 150",1727907807,24789,55760,82942,24789
MEX93460,"26 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)",,Protesters,,,,"Protesters only",,484,"North America",Mexico,Mexico,"Ecatepec de Morelos",,"Ecatepec de Morelos",19.5991,-99.0492,1,"La Silla Rota",National,"On 26 September 2024, in Ecatepec de Morelos, Mexico, for the third consecutive day, residents of Alcatraces blocked Texcoco-Lecheria road by Central de Abastos to demand the reestablishment of the water supply in their houses.",0,"crowd size=no report",1727907807,11743,92301,417033,11743
MEX93463,"26 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","Judges (Mexico); Labor Group (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,"Michoacan de Ocampo",Morelia,,Morelia,19.7034,-101.192,1,MiMorelia,Subnational,"On 26 September 2024, in Morelia, Michoacan de Ocampo, judges and employees of the Judiciary blocked Madero avenue from Abasolo street, in front of the government palace, to protest against the judicial reform. This protest is part of a national strike that includes protests in other cities (coded separately).",0,"crowd size=no report",1727907807,34105,48306,74542,34105
MEX93464,"26 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","PCM: Mexican Communist Party; Students (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,Morelos,Cuernavaca,,Cuernavaca,18.9218,-99.2349,1,"La Jornada",National,"On 26 September 2024, in Cuernavaca, Morelos, 100 normalista students and members of the Communist Party blocked traffic around Paloma de la Paz boulevard and in front of the Artillery Regiment of the 24th military zone on Domingo Diez avenue to demand justice for the 43 normalista students from Ayotzinapa that disappeared in 2014. The protesters also burned a pinata with the figure of President Lopez Obrador. This event is part of a nationwide call in commemoration of the tenth anniversary of the disappearance of the students that includes demonstrations in other cities (coded separately).",0,"crowd size=100",1727907807,13677,28625,24545,13677
MEX93465,"26 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)",,Protesters,,,,"Protesters only",,484,"North America",Mexico,Morelos,Cuernavaca,,Cuernavaca,18.9218,-99.2349,1,"Diario de Morelos",Subnational,"On 26 September 2024, in Cuernavaca, Morelos, residents of Jiutepec protested in front of the government palace to demand support to face the consequences of landslides caused by recent rain.",0,"crowd size=no report",1727907807,13677,28625,24545,13677
MEX93467,"26 September 2024",2024,2,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","Judges (Mexico); Labor Group (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,"Nuevo Leon",Monterrey,,Monterrey,25.6647,-100.311,1,"El Norte",Subnational,"Around 26 September 2024 (as reported), in Monterrey, Nuevo Leon, judges and employees of the Judiciary blocked Constitucion avenue to protest against the judicial reform. This protest is part of a national strike that includes protests in other cities (coded separately).",0,"crowd size=no report",1727907807,13532,70781,221034,13532
MEX93468,"26 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)",,Protesters,,,,"Protesters only",,484,"North America",Mexico,Oaxaca,"Oaxaca de Juarez",,"Oaxaca de Juarez",17.06,-96.7255,1,"Quadratin Oaxaca",Subnational,"On 26 September 2024, in Oaxaca de Juarez, Oaxaca, residents set a car to block the intersection of Lopez Alaves and Genaro Vasquez streets to demand the repair of the potholes in the streets of the neighborhood of Xochimilco.",0,"crowd size=no report",1727907807,10447,21356,23099,10447
MEX93469,"26 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","Students (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,Oaxaca,"Oaxaca de Juarez",,"Oaxaca de Juarez",17.06,-96.7255,1,"Quadratin Oaxaca",Subnational,"On 26 September 2024, in Oaxaca de Juarez, Oaxaca, normalista students marched from the road leading to Tule towards the downtown to demand justice for the 43 normalista students from Ayotzinapa that disappeared in 2014. This event is part of a nationwide call in commemoration of the tenth anniversary of the disappearance of the students that includes demonstrations in other cities (coded separately).",0,"crowd size=no report",1727907807,10447,21356,23099,10447
MEX93470,"26 September 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Mexico)","Judges (Mexico); Labor Group (Mexico)",Protesters,,,,"Protesters only",,484,"North America",Mexico,Oaxaca,"Oaxaca de Juarez",,"Oaxaca de Juarez",17.06,-96.7255,1,"Quadratin Oaxaca",Subnational,"On 26 September 2024, in Oaxaca de Juarez, Oaxaca, judges and employees of the Judiciary marched from Juarez avenue to Heroes de Chapultepec to protest against the judicial reform. During the event, the demonstrators also protested in front of the offices of TV Azteca Oaxaca and blocked Fonapas road. This protest is part of a national strike that includes protests in other cities (coded separately).",0,"crowd size=no report",1727907807,10447,21356,23099,10447
